Size;DataType;StdMerge_ms;StdMerge_comps;StdQuick_ms;StdQuick_comps;StrMerge_ms;StrMerge_comps;StrQuick_ms;StrQuick_comps;MSD_ms;MSD_comps;MSDHybrid_ms;MSDHybrid_comps
100;Random;0.0888976;609;0.0881642;16399;0.0854016;609;0.0210096;629;0.0455074;0;0.018705;65
100;Reversed;0.0814082;603;0.182249;28320;0.0829976;603;0.034746;1129;0.044886;0;0.056161;1306
100;AlmostSorted;0.0844842;742;0.13576;21297;0.0815962;742;0.0253628;853;0.035588;0;0.0336036;612
200;Random;0.204076;1496;0.170386;32123;0.201618;1496;0.0446116;1371;0.0883432;0;0.0380642;207
200;Reversed;0.191194;1303;0.59627;67111;0.210334;1303;0.0766928;2464;0.0858296;0;0.139166;3047
200;AlmostSorted;0.247057;1700;0.444312;37995;0.299904;1700;0.0713526;1988;0.0852126;0;0.0942728;1220
300;Random;0.454632;2517;0.28164;48915;0.355247;2517;0.0735558;2268;0.126661;0;0.0556232;416
300;Reversed;0.303777;2074;1.10255;115622;0.316655;2074;0.149901;3870;0.183023;0;0.191668;4563
300;AlmostSorted;0.422644;2804;0.697404;68738;0.31896;2804;0.097464;3259;0.16872;0;0.101119;1900
400;Random;0.459254;3648;0.367998;62845;0.50462;3648;0.113452;3519;0.154983;0;0.0770366;687
400;Reversed;0.42805;2843;1.68158;173548;0.428258;2843;0.194449;6425;0.194664;0;0.259316;6228
400;AlmostSorted;0.457309;3833;0.781902;90758;0.609812;3833;0.148794;4819;0.151864;0;0.14231;2594
500;Random;0.774645;4855;0.479962;83482;0.613314;4855;0.141097;4123;0.180337;0;0.104124;1023
500;Reversed;0.590685;3760;2.5803;244123;0.563139;3760;0.252177;8303;0.229573;0;0.361501;7892
500;AlmostSorted;0.560911;4804;0.86472;105346;0.570669;4804;0.196314;6580;0.179633;0;0.163622;3167
600;Random;0.741917;6119;0.573666;102347;0.752307;6119;0.166037;5248;0.216495;0;0.12574;1373
600;Reversed;0.696645;4427;3.53534;321827;0.805493;4427;0.362139;11586;0.261513;0;0.370943;9187
600;AlmostSorted;0.713288;6255;1.15333;135780;0.797504;6255;0.261761;8743;0.221478;0;0.202959;3850
700;Random;0.894943;7406;0.664447;117904;1.0485;7406;0.235446;5931;0.277252;0;0.158713;1760
700;Reversed;0.811603;5167;4.61809;410016;0.822712;5167;0.445902;14503;0.285602;0;0.420878;10898
700;AlmostSorted;0.823227;7542;1.21173;146602;0.861582;7542;0.416919;11047;0.27781;0;0.223977;4472
800;Random;1.11255;8741;0.864945;130331;1.09275;8741;0.212102;6630;0.263155;0;0.195283;2151
800;Reversed;1.22645;6065;5.90808;510023;1.11693;6065;0.591739;17196;0.31052;0;0.578411;12104
800;AlmostSorted;0.963423;8505;1.84776;179852;1.1554;8505;0.414832;13566;0.290847;0;0.258917;5072
900;Random;1.25603;10123;0.944442;152324;1.17804;10123;0.252535;8069;0.311131;0;0.211484;2587
900;Reversed;1.14059;6979;7.61648;616537;1.07917;6979;0.619004;20758;0.389051;0;0.580451;13714
900;AlmostSorted;1.0927;9749;2.01376;191583;1.10511;9749;0.533333;16450;0.371895;0;0.333324;5694
1000;Random;1.33984;11574;1.00721;166331;1.4261;11574;0.33889;9210;0.327669;0;0.226221;3049
1000;Reversed;1.18242;7983;8.86302;735584;1.35002;7983;0.739943;24091;0.415989;0;0.618599;15492
1000;AlmostSorted;1.19727;10775;1.86159;214271;1.27997;10775;0.603112;19743;0.359799;0;0.32132;6346
1100;Random;1.47409;13043;1.22408;190903;1.47954;13043;0.348067;10861;0.359148;0;0.260042;3441
1100;Reversed;1.34815;8661;10.7896;865481;1.33515;8661;0.816454;27441;0.446793;0;0.662871;17151
1100;AlmostSorted;1.35253;12239;2.50959;246029;1.38566;12239;0.710211;23142;0.405145;0;0.353517;6922
1200;Random;1.65972;14499;1.46657;202161;1.65569;14499;0.342487;10826;0.401751;0;0.370418;3961
1200;Reversed;1.69809;9457;12.4011;1004734;1.48014;9457;0.928475;31727;0.478552;0;0.741296;18673
1200;AlmostSorted;1.56736;13633;2.55229;279505;1.60762;13633;0.668036;22437;0.439273;0;0.377096;7490
1300;Random;1.86109;16001;1.33996;222976;2.22645;16001;0.383135;12119;0.432124;0;0.315193;4504
1300;Reversed;2.71069;10382;14.3729;1154315;1.61227;10382;1.10251;36078;0.519485;0;0.791526;20564
1300;AlmostSorted;1.90052;15135;2.77305;284629;1.84129;15135;0.758463;26080;0.530689;0;0.472844;8040
1400;Random;1.9218;17477;1.52817;243356;1.99867;17477;0.446225;14235;0.47466;0;0.341013;4990
1400;Reversed;1.81794;11034;16.6686;1311072;1.78504;11034;1.22967;40299;0.547548;0;0.861128;21960
1400;AlmostSorted;1.91391;16492;2.61547;298220;1.87586;16492;1.12282;29876;0.519992;0;0.45055;8708
1500;Random;2.12001;19036;1.56154;255155;2.23528;19036;0.481253;14401;0.537271;0;0.377475;5483
1500;Reversed;2.32836;12181;19.2901;1477635;1.9521;12181;1.33612;44873;0.603581;0;0.926499;23637
1500;AlmostSorted;1.97831;17812;4.11721;355737;2.10342;17812;1.06369;35283;0.560876;0;0.477594;9356
1600;Random;2.53288;20602;1.79522;272191;2.4039;20602;0.544495;17685;0.522522;0;0.396224;6031
1600;Reversed;2.18368;13037;21.8069;1656256;2.30384;13037;1.50273;49718;0.610007;0;0.98622;25079
1600;AlmostSorted;2.67675;19029;3.25154;324964;2.33735;19029;1.13989;38386;0.606274;0;0.49311;9888
1700;Random;2.8485;22215;1.7638;297264;2.68502;22215;0.53869;17117;0.564192;0;0.43089;6568
1700;Reversed;2.35985;13874;25.1625;1846125;2.18942;13874;1.69894;56247;0.648105;0;1.04589;26894
1700;AlmostSorted;2.70956;20486;3.16418;343965;2.30536;20486;1.33484;41462;0.641596;0;0.568994;10507
1800;Random;3.00045;23843;2.05082;310851;2.71113;23843;0.614181;19807;0.619079;0;0.45775;7118
1800;Reversed;2.85294;14855;27.4548;2044922;2.36552;14855;2.03833;60791;0.679882;0;1.24196;28388
1800;AlmostSorted;3.79675;21569;3.13744;366342;2.71994;21569;1.42016;45893;0.706283;0;0.685773;11076
1900;Random;2.89287;25461;1.96281;329955;2.76778;25461;0.619209;20017;0.647651;0;0.49048;7627
1900;Reversed;2.53531;15830;30.2603;2252222;2.52628;15830;2.3425;65190;0.708307;0;1.16325;29774
1900;AlmostSorted;2.62676;22820;4.8313;476351;2.56806;22820;1.77999;56361;0.722587;0;0.613812;11706
2000;Random;3.37508;27104;2.18644;351951;3.32505;27104;0.61879;20077;0.746012;0;0.645097;8110
2000;Reversed;3.33097;17002;32.9729;2469850;2.77676;17002;2.30162;73004;0.753711;0;1.2216;31198
2000;AlmostSorted;3.04363;23941;4.419;458830;2.73181;23941;1.83841;56476;0.729677;0;0.622645;12256
2100;Random;3.28837;28770;2.14003;364859;3.04707;28770;0.753681;24363;0.754319;0;0.566538;8778
2100;Reversed;3.27646;17834;36.6866;2696334;2.79086;17834;2.4065;78079;0.852389;0;1.32517;32813
2100;AlmostSorted;4.05771;25098;4.1454;469492;2.94576;25098;1.9439;60406;0.811817;0;0.659436;12879
2200;Random;3.53501;30500;2.37504;382196;3.21272;30500;0.714682;22838;0.815695;0;0.80757;9364
2200;Reversed;3.50199;18561;39.9064;2935356;2.93467;18561;2.57333;86573;0.866558;0;1.36324;34609
2200;AlmostSorted;3.16783;27074;3.16253;430150;3.03622;27074;1.95985;64532;0.830383;0;0.688273;13419
2300;Random;3.7463;32159;2.3858;401624;3.397;32159;0.735717;24058;0.832451;0;0.650293;10003
2300;Reversed;3.1321;19359;43.8257;3184568;3.09116;19359;2.88032;92301;0.931032;0;1.4129;35858
2300;AlmostSorted;3.61661;28737;4.01545;449577;3.40119;28737;2.67698;81571;0.904219;0;0.742048;14020
2400;Random;4.80157;33900;2.67978;419773;3.62907;33900;0.779532;25074;1.13397;0;0.675509;10586
2400;Reversed;4.11427;20096;48.7062;3442479;3.29341;20096;3.06648;99274;0.962433;0;1.56639;37795
2400;AlmostSorted;4.34004;29779;4.47783;503540;3.49572;29779;2.44604;81898;0.896304;0;0.753358;14545
2500;Random;4.40002;35590;2.56613;437402;3.70942;35590;0.827835;27317;0.946997;0;0.708192;11229
2500;Reversed;3.53567;21043;51.2238;3710843;3.51209;21043;3.23616;105651;0.975551;0;1.54269;39285
2500;AlmostSorted;3.68885;31295;4.66085;526892;3.6727;31295;2.56365;85642;0.974015;0;0.787502;15153
2600;Random;4.26543;37361;2.72675;459807;3.86412;37361;0.832542;27372;0.995571;0;0.731662;11827
